Company,Company Type,KPI Key,KPI Parameter,Category,2025 Value,2026 Value,Unit,Footnotes
"Motilal Oswal","Traditional Advisory","active_clients","Active Clients (NSE)","Client Metrics","~5.1 Lakh","~6.2 Lakh","Lakh","Stable, active retail/HNI base."
"Motilal Oswal","Traditional Advisory","new_customers","No. of New Customers Offset","Client Metrics","NSD","NSD","text","Multi-channel physical and digital sourcing."
"Motilal Oswal","Traditional Advisory","cac","Customer Acquisition Cost","Client Metrics","NSD","NSD","text","Tied to recurring partner payouts."
"Motilal Oswal","Traditional Advisory","revenue_per_new","Rev. per New Customer","Client Metrics","NSD","NSD","text","Yields high revenue due to advisory and AUM fees."
"Motilal Oswal","Traditional Advisory","key_business_drivers","Key Business Drivers","Client Metrics","Private Wealth, AMC PAT","Private Wealth, AMC PAT","text","AMC PAT rose 55% to ₹798 Cr; Wealth AUM at ₹1.97 Lakh Cr."
"HDFC Securities","Traditional Advisory","broking_income","Broking Income","Income","~₹2,210.0","~₹1,900.0","₹ Cr","Impacted by retail trading slowdown."
"HDFC Securities","Traditional Advisory","distribution_income","Distribution Income","Income","~₹410.0","~₹520.0","₹ Cr","Third-party insurance and mutual fund sales."
"HDFC Securities","Traditional Advisory","mtf_income","MTF Income","Income","~₹640.0","~₹1,138.0","₹ Cr","Scaled margin funding to support margins."
"HDFC Securities","Traditional Advisory","total_income","Total Income","Income","₹3,264.55","~₹3,558.35","₹ Cr","Total consolidated income."
"HDFC Securities","Traditional Advisory","franchisee_expense","Franchisee/Comm. Expense","Expenses","Low reliance","Low reliance","text","Low franchisee reliance; uses HDFC Bank branches."
"HDFC Securities","Traditional Advisory","employee_cost","Employee Cost","Expenses","~₹480.0","NSD","₹ Cr","Elevated by hiring for the HDFC Sky platform."
"HDFC Securities","Traditional Advisory","it_expense","IT Expense","Expenses","NSD","NSD","text","Spiked significantly on HDFC Sky tech rollout."
"HDFC Securities","Traditional Advisory","marketing_expense","Marketing & Biz Promotion","Expenses","~₹150.0","~₹240.0","₹ Cr","Marketing increased to support digital growth."
"HDFC Securities","Traditional Advisory","total_expense","Total Expense","Expenses","₹2,139.55","₹2,629.35","₹ Cr","Calculated as Total Income less PAT."
"HDFC Securities","Traditional Advisory","pbt","Profit Before Tax (PBT)","Profitability","₹1,520.0","₹1,250.0","₹ Cr","Compressed by higher technology investments."
"HDFC Securities","Traditional Advisory","pat","Profit After Tax (PAT)","Profitability","₹1,125.0","₹929.0","₹ Cr","Net Profit fell 17% YoY."
"HDFC Securities","Traditional Advisory","brokerage_yield","Brokerage Yield","Profitability","Standard (HDFC Sky is Flat ₹20)","Standard (HDFC Sky is Flat ₹20)","text","Structured pricing; flat rate used on HDFC Sky."
"HDFC Securities","Traditional Advisory","turnover_cash","Turnover - Cash","Market Metrics","NSD","NSD","text","Supported by stable, high-value bank accounts."
"HDFC Securities","Traditional Advisory","turnover_derivatives","Turnover - Derivatives","Market Metrics","NSD","NSD","text","Low speculative derivative presence."
"HDFC Securities","Traditional Advisory","market_share_cash","Market Share - Cash","Market Metrics","~3.8%","~3.5%","%","Retained market share among bank-backed brokers."
"HDFC Securities","Traditional Advisory","market_share_derivatives","Market Share - Derivatives","Market Metrics","<1.0%","<1.0%","%","Low penetration in high-frequency F&O."
"HDFC Securities","Traditional Advisory","mtf_portfolio","MTF Portfolio (Book)","Balance Sheet & Debt","~₹1,800.0","~₹2,200.0","₹ Cr","Leveraged parent bank cash for client funding."
"HDFC Securities","Traditional Advisory","t5_portfolio","T5 Portfolio","Balance Sheet & Debt","NSD","NSD","text","Combined with standard client accounts."
"HDFC Securities","Traditional Advisory","esop_portfolio","ESOP & Other Portfolio","Balance Sheet & Debt","NSD","NSD","text","Handled through the parent bank."
"HDFC Securities","Traditional Advisory","networth","Networth","Balance Sheet & Debt","~₹2,800.0","~₹3,400.0","₹ Cr","Retained earnings support net worth."
"HDFC Securities","Traditional Advisory","borrowing","Borrowing","Balance Sheet & Debt","~₹2,240.0","~₹3,900.0","₹ Cr","Uses parent bank credit facilities."
"HDFC Securities","Traditional Advisory","cost_of_borrowing","Avg. Cost of Borrowing","Balance Sheet & Debt","7.25%","7.80%","%","Enjoys the lowest cost of funds in the industry."
"HDFC Securities","Traditional Advisory","total_clients","Total Clients","Client Metrics","~58.0 Lakh","78.0 Lakh","Lakh","Serviced through 128 branches."
"HDFC Securities","Traditional Advisory","active_clients","Active Clients (NSE)","Client Metrics","~11.0 Lakh","~9.2 Lakh","Lakh","Churn in active cash client base."
"HDFC Securities","Traditional Advisory","new_customers","No. of New Customers Offset","Client Metrics","NSD","NSD","text","Sourced via parent bank account integrations."
"HDFC Securities","Traditional Advisory","cac","Customer Acquisition Cost","Client Metrics","Sourced organically via Parent Bank","Sourced organically via Parent Bank","text","Highly optimized due to bank cross-selling."
"HDFC Securities","Traditional Advisory","revenue_per_new","Rev. per New Customer","Client Metrics","NSD","NSD","text","High yield due to multi-product integration."
"HDFC Securities","Traditional Advisory","key_business_drivers","Key Business Drivers","Client Metrics","Parent Bank Base, HDFC Sky","Parent Bank Base, HDFC Sky","text","Transitioning to low-fee digital models to protect client assets."
